INFO  - 2013-09-13 03:20:25.544; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035225541&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:20:27.553; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035227550&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:29.564; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035229560&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:20:31.575; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035231572&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:33.587; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035233585&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:35.596; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035235593&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:20:37.607; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035237604&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:39.618; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035239615&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:41.628; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035241625&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:43.638; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035243635&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:45.650; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035245647&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:20:47.659; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035247656&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:49.670; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035249667&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:20:51.680; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035251677&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:53.691; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035253688&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:55.703; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035255700&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:20:57.717; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035257714&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:20:59.728; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035259725&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:21:01.739; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035261736&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:03.751; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035263748&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:05.759; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035265756&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:07.770; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035267766&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:09.779; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035269777&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:11.788; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035271785&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:13.799; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035273796&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:15.811; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035275808&wt=json} status=0 QTime=0 
INFO  - 2013-09-13 03:21:17.822; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035277819&wt=json} status=0 QTime=1 
INFO  - 2013-09-13 03:21:19.832; org.apache.solr.core.SolrCore; [food] webapp=/solr path=/dataimport params={indent=true&command=status&_=1379035279829&wt=json} status=0 QTime=0 
